Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
129,157,255.09,goal,0.186,0.186,0.0515
130,217,323.57,goal,0.180,0.180,0.0515
131,221,-119.98,collision,1.074,1.074,0.0514
132,121,-34.33,collision,1.101,1.101,0.0514
133,103,256.09,goal,0.194,0.194,0.0514
134,100,-41.94,collision,3.411,3.411,0.0514
135,456,222.62,goal,0.191,0.191,0.0513
136,448,-4.39,collision,0.234,0.234,0.0512
137,600,-100.95,timeout,0.392,0.392,0.0511
138,3,-52.92,collision,3.143,3.143,0.0511
139,74,240.69,goal,0.188,0.188,0.0510
140,76,-19.21,collision,1.124,1.124,0.0510
141,549,-200.70,collision,1.639,1.638,0.0509
142,208,268.55,goal,0.192,0.192,0.0509
143,144,304.13,goal,0.178,0.178,0.0509
144,77,246.11,goal,0.194,0.194,0.0509
145,319,-87.23,collision,0.953,0.953,0.0508
146,106,251.51,goal,0.192,0.192,0.0508
147,183,213.55,goal,0.182,0.182,0.0508
148,79,262.43,goal,0.185,0.185,0.0508
149,184,28.10,collision,0.832,0.832,0.0508
150,388,-51.01,collision,0.407,0.407,0.0507
151,249,17.44,collision,0.420,0.420,0.0507
152,88,257.05,goal,0.177,0.177,0.0507
153,88,265.09,goal,0.183,0.183,0.0507
154,75,259.75,goal,0.195,0.195,0.0507
155,79,247.59,goal,0.181,0.181,0.0506
156,196,312.35,goal,0.191,0.191,0.0506
157,7,-58.76,collision,2.316,2.316,0.0506
158,61,259.30,goal,0.182,0.182,0.0506
159,58,-6.95,collision,0.323,0.323,0.0506
160,121,287.77,goal,0.192,0.192,0.0506
161,59,-37.74,collision,1.585,1.585,0.0506
162,245,293.87,goal,0.181,0.181,0.0506
163,48,-40.13,collision,2.268,2.268,0.0506
164,150,38.54,collision,0.242,0.242,0.0506
165,256,-16.92,collision,0.418,0.418,0.0505
166,73,-22.52,collision,0.526,0.525,0.0505
167,111,286.99,goal,0.184,0.184,0.0505
168,99,280.29,goal,0.184,0.184,0.0505
169,435,-92.81,collision,0.708,0.708,0.0505
170,299,220.10,goal,0.199,0.199,0.0504
171,11,-64.76,collision,3.550,3.550,0.0504
172,93,273.99,goal,0.183,0.183,0.0504
173,129,255.89,goal,0.178,0.178,0.0504
174,90,232.08,goal,0.173,0.173,0.0504
175,139,-148.86,collision,0.834,0.834,0.0504
176,93,238.21,goal,0.188,0.188,0.0504
177,150,296.92,goal,0.200,0.200,0.0504
178,50,235.29,goal,0.186,0.186,0.0504
179,218,11.09,collision,0.377,0.377,0.0504
180,139,266.99,goal,0.180,0.180,0.0504
181,43,-39.70,collision,2.195,2.195,0.0504
182,79,254.15,goal,0.198,0.198,0.0504
183,118,282.22,goal,0.179,0.179,0.0504
184,54,242.09,goal,0.183,0.183,0.0504
185,182,23.98,collision,0.961,0.357,0.0503
186,87,260.77,goal,0.196,0.196,0.0503
187,98,260.79,goal,0.194,0.194,0.0503
188,68,-33.29,collision,0.689,0.689,0.0503
189,178,270.09,goal,0.193,0.193,0.0503
190,138,237.73,goal,0.192,0.192,0.0503
191,38,-43.86,collision,1.351,1.351,0.0503
192,107,283.73,goal,0.185,0.185,0.0503
193,80,-26.44,collision,3.064,3.064,0.0503
194,142,-12.21,collision,0.523,0.523,0.0503
195,165,261.44,goal,0.188,0.188,0.0503
196,125,302.23,goal,0.174,0.174,0.0503
197,444,16.72,collision,0.486,0.486,0.0503
198,600,-206.32,timeout,1.655,1.651,0.0502
199,111,248.95,goal,0.175,0.175,0.0502
200,142,255.26,goal,0.193,0.193,0.0502
201,131,207.17,goal,0.193,0.193,0.0502
202,137,266.60,goal,0.179,0.179,0.0502
203,38,235.84,goal,0.179,0.179,0.0502
204,187,294.54,goal,0.199,0.199,0.0502
205,134,286.64,goal,0.180,0.180,0.0502
206,62,246.97,goal,0.190,0.190,0.0502
207,112,289.80,goal,0.199,0.199,0.0502
208,80,271.25,goal,0.163,0.163,0.0502
209,90,8.78,collision,0.389,0.389,0.0502
210,74,230.41,goal,0.196,0.196,0.0502
211,202,282.05,goal,0.182,0.182,0.0502
212,250,296.99,goal,0.183,0.183,0.0502
213,6,-57.01,collision,3.453,3.453,0.0502
214,194,266.23,goal,0.192,0.192,0.0502
215,323,300.55,goal,0.179,0.179,0.0502
216,49,-4.03,collision,0.625,0.625,0.0502
217,89,261.78,goal,0.187,0.187,0.0502
218,153,323.36,goal,0.188,0.188,0.0502
219,139,21.28,collision,0.336,0.336,0.0501
