Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
53,1,-100.00,collision,4.126,4.126,0.6491
54,1,-100.00,collision,4.347,4.347,0.6490
55,1,-100.00,collision,2.266,2.266,0.6489
56,1,-100.00,collision,0.047,0.047,0.6488
57,1,-100.00,collision,2.603,2.603,0.6487
58,1,-100.00,collision,1.640,1.640,0.6486
59,1,-100.00,collision,2.913,2.913,0.6485
60,1,-100.00,collision,2.421,2.421,0.6484
61,1,-100.00,collision,0.781,0.781,0.6483
62,1,-100.00,collision,4.207,4.207,0.6482
63,1,-100.00,collision,3.487,3.487,0.6481
64,1,-100.00,collision,0.230,0.230,0.6480
65,1,-100.00,collision,0.451,0.451,0.6479
66,1,-100.00,collision,1.721,1.721,0.6478
67,1,-100.00,collision,3.195,3.195,0.6477
68,1,-100.00,collision,4.888,4.888,0.6476
69,1,-100.00,collision,4.233,4.233,0.6475
70,1,-100.00,collision,1.951,1.951,0.6474
71,1,-100.00,collision,2.820,2.820,0.6473
72,1,-100.00,collision,3.976,3.976,0.6472
73,1,-100.00,collision,3.143,3.143,0.6471
74,1,-100.00,collision,1.050,1.050,0.6470
75,1,-100.00,collision,2.824,2.824,0.6469
76,1,-100.00,collision,2.188,2.188,0.6468
77,1,-100.00,collision,4.149,4.149,0.6467
78,1,-100.00,collision,0.698,0.698,0.6466
79,1,-100.00,collision,4.967,4.967,0.6465
80,1,-100.00,collision,0.970,0.970,0.6464
81,1,-100.00,collision,0.060,0.060,0.6463
82,1,-100.00,collision,2.731,2.731,0.6462
83,1,-100.00,collision,2.121,2.121,0.6461
84,1,-100.00,collision,4.004,4.004,0.6460
85,1,-100.00,collision,3.537,3.537,0.6459
86,1,-100.00,collision,2.587,2.587,0.6458
87,1,-100.00,collision,1.121,1.121,0.6457
88,1,-100.00,collision,1.461,1.461,0.6456
89,1,-100.00,collision,1.245,1.245,0.6455
90,1,-100.00,collision,3.850,3.850,0.6454
91,1,-100.00,collision,3.454,3.454,0.6453
92,1,-100.00,collision,2.252,2.252,0.6452
93,1,-100.00,collision,1.394,1.394,0.6451
94,1,-100.00,collision,4.653,4.653,0.6450
95,1,-100.00,collision,3.227,3.227,0.6449
96,1,-100.00,collision,3.993,3.993,0.6448
97,1,-100.00,collision,4.388,4.388,0.6447
98,1,-100.00,collision,3.963,3.963,0.6446
99,1,-100.00,collision,1.446,1.446,0.6445
100,1,-100.00,collision,2.347,2.347,0.6444
101,1,-100.00,collision,3.528,3.528,0.6443
102,1,-100.00,collision,3.094,3.094,0.6442
103,1,-100.00,collision,2.671,2.671,0.6441
104,1,-100.00,collision,0.780,0.780,0.6440
105,1,-100.00,collision,2.423,2.423,0.6440
106,1,-100.00,collision,3.772,3.772,0.6439
107,1,-100.00,collision,3.023,3.023,0.6438
108,1,-100.00,collision,2.545,2.545,0.6437
109,1,-100.00,collision,2.864,2.864,0.6436
110,1,-100.00,collision,4.251,4.251,0.6435
111,1,-100.00,collision,3.586,3.586,0.6434
112,1,-100.00,collision,3.548,3.548,0.6433
113,1,-100.00,collision,1.444,1.444,0.6432
114,1,-100.00,collision,3.085,3.085,0.6431
115,1,-100.00,collision,3.148,3.148,0.6430
116,1,-100.00,collision,3.305,3.305,0.6429
117,1,-100.00,collision,3.557,3.557,0.6428
118,1,-100.00,collision,3.835,3.835,0.6427
119,1,-100.00,collision,0.934,0.934,0.6426
120,1,-100.00,collision,4.156,4.156,0.6425
121,1,-100.00,collision,3.274,3.274,0.6424
122,1,-100.00,collision,2.566,2.566,0.6423
123,1,-100.00,collision,3.757,3.757,0.6422
124,1,-100.00,collision,2.128,2.128,0.6421
125,1,-100.00,collision,3.973,3.973,0.6420
126,1,-100.00,collision,1.570,1.570,0.6419
127,1,-100.00,collision,1.507,1.507,0.6418
128,1,-100.00,collision,1.036,1.036,0.6417
129,1,-100.00,collision,2.423,2.423,0.6416
130,1,-100.00,collision,1.123,1.123,0.6415
131,1,-100.00,collision,3.266,3.266,0.6414
132,1,-100.00,collision,2.238,2.238,0.6413
133,1,-100.00,collision,1.648,1.648,0.6412
134,1,-100.00,collision,3.947,3.947,0.6411
135,1,-100.00,collision,3.955,3.955,0.6410
136,1,-100.00,collision,3.059,3.059,0.6409
137,1,-100.00,collision,3.267,3.267,0.6408
138,1,-100.00,collision,3.943,3.943,0.6407
139,1,-100.00,collision,1.349,1.349,0.6406
140,1,-100.00,collision,2.826,2.826,0.6405
141,1,-100.00,collision,3.679,3.679,0.6404
142,1,-100.00,collision,1.523,1.523,0.6403
143,1,-100.00,collision,1.075,1.075,0.6402
144,1,-100.00,collision,0.451,0.451,0.6401
145,1,-100.00,collision,3.947,3.947,0.6400
146,1,-100.00,collision,3.104,3.104,0.6399
147,1,-100.00,collision,0.230,0.230,0.6398
148,1,-100.00,collision,4.253,4.253,0.6397
149,1,-100.00,collision,1.083,1.083,0.6396
150,1,-100.00,collision,3.388,3.388,0.6395
151,1,-100.00,collision,2.824,2.824,0.6394
152,1,-100.00,collision,1.573,1.573,0.6393
153,1,-100.00,collision,0.304,0.304,0.6392
154,1,-100.00,collision,3.075,3.075,0.6391
155,1,-100.00,collision,0.761,0.761,0.6390
156,1,-100.00,collision,3.948,3.948,0.6389
157,1,-100.00,collision,1.113,1.113,0.6388
158,1,-100.00,collision,2.989,2.989,0.6387
159,1,-100.00,collision,3.748,3.748,0.6386
160,1,-100.00,collision,3.469,3.469,0.6385
161,1,-100.00,collision,0.938,0.938,0.6384
162,1,-100.00,collision,0.665,0.665,0.6383
163,1,-100.00,collision,3.763,3.763,0.6382
164,1,-100.00,collision,3.255,3.255,0.6381
165,1,-100.00,collision,1.007,1.007,0.6380
166,1,-100.00,collision,3.970,3.970,0.6379
167,1,-100.00,collision,3.459,3.459,0.6378
168,1,-100.00,collision,3.235,3.235,0.6377
169,1,-100.00,collision,3.376,3.376,0.6376
170,1,-100.00,collision,0.861,0.861,0.6376
171,1,-100.00,collision,1.956,1.956,0.6375
172,1,-100.00,collision,1.155,1.155,0.6374
173,1,-100.00,collision,2.525,2.525,0.6373
174,1,-100.00,collision,3.045,3.045,0.6372
175,1,-100.00,collision,3.243,3.243,0.6371
176,1,-100.00,collision,1.867,1.867,0.6370
177,1,-100.00,collision,3.967,3.967,0.6369
178,1,-100.00,collision,0.798,0.798,0.6368
179,1,-100.00,collision,1.826,1.826,0.6367
180,1,-100.00,collision,3.112,3.112,0.6366
181,1,-100.00,collision,2.584,2.584,0.6365
182,1,-100.00,collision,1.942,1.942,0.6364
183,1,-100.00,collision,3.957,3.957,0.6363
184,1,-100.00,collision,3.251,3.251,0.6362
185,1,-100.00,collision,3.875,3.875,0.6361
186,1,-100.00,collision,1.969,1.969,0.6360
187,1,-100.00,collision,0.750,0.750,0.6359
188,1,-100.00,collision,4.108,4.108,0.6358
189,1,-100.00,collision,0.993,0.993,0.6357
190,1,-100.00,collision,2.909,2.909,0.6356
191,1,-100.00,collision,3.182,3.182,0.6355
192,1,-100.00,collision,4.262,4.262,0.6354
193,1,-100.00,collision,3.888,3.888,0.6353
194,1,-100.00,collision,4.157,4.157,0.6352
195,1,-100.00,collision,2.380,2.380,0.6351
196,1,-100.00,collision,1.152,1.152,0.6350
197,1,-100.00,collision,3.794,3.794,0.6349
198,1,-100.00,collision,1.560,1.560,0.6348
199,1,-100.00,collision,1.691,1.691,0.6347
200,1,-100.00,collision,3.558,3.558,0.6346
201,1,-100.00,collision,2.330,2.330,0.6345
202,1,-100.00,collision,0.593,0.593,0.6344
203,1,-100.00,collision,1.065,1.065,0.6343
204,1,-100.00,collision,0.928,0.928,0.6342
205,1,-100.00,collision,3.754,3.754,0.6341
206,1,-100.00,collision,3.548,3.548,0.6340
207,1,-100.00,collision,0.552,0.552,0.6339
208,1,-100.00,collision,1.467,1.467,0.6338
209,1,-100.00,collision,0.696,0.696,0.6337
210,1,-100.00,collision,3.614,3.614,0.6336
211,1,-100.00,collision,3.074,3.074,0.6335
212,1,-100.00,collision,1.527,1.527,0.6335
213,1,-100.00,collision,2.192,2.192,0.6334
214,1,-100.00,collision,3.474,3.474,0.6333
215,1,-100.00,collision,2.955,2.955,0.6332
216,1,-100.00,collision,3.284,3.284,0.6331
217,1,-100.00,collision,2.832,2.832,0.6330
218,1,-100.00,collision,3.754,3.754,0.6329
219,1,-100.00,collision,4.245,4.245,0.6328
