Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
0,600,310.56,timeout,0.827,0.827,0.9188
1,600,126.26,timeout,1.471,1.471,0.8361
2,600,231.52,timeout,1.419,1.420,0.7613
3,600,-669.68,timeout,2.203,1.626,0.6936
4,381,-529.42,collision,3.902,3.315,0.6540
5,1,-100.00,collision,3.823,3.823,0.6539
6,1,-100.00,collision,3.704,3.704,0.6538
7,1,-100.00,collision,3.168,3.168,0.6537
8,1,-100.00,collision,4.025,4.025,0.6536
9,1,-100.00,collision,3.860,3.860,0.6535
10,1,-100.00,collision,1.419,1.419,0.6534
11,1,-100.00,collision,3.619,3.619,0.6533
12,1,-100.00,collision,3.428,3.428,0.6532
13,1,-100.00,collision,3.183,3.183,0.6531
14,1,-100.00,collision,3.089,3.089,0.6530
15,1,-100.00,collision,3.320,3.320,0.6529
16,1,-100.00,collision,3.999,3.999,0.6528
17,1,-100.00,collision,1.331,1.331,0.6527
18,1,-100.00,collision,1.834,1.834,0.6526
19,1,-100.00,collision,1.439,1.439,0.6525
20,1,-100.00,collision,1.648,1.648,0.6524
21,1,-100.00,collision,3.024,3.024,0.6523
22,1,-100.00,collision,2.160,2.160,0.6522
23,1,-100.00,collision,2.819,2.819,0.6521
24,1,-100.00,collision,0.485,0.485,0.6520
25,1,-100.00,collision,4.184,4.184,0.6519
26,1,-100.00,collision,2.410,2.410,0.6518
27,1,-100.00,collision,3.462,3.462,0.6517
28,1,-100.00,collision,3.442,3.442,0.6516
29,1,-100.00,collision,4.288,4.288,0.6515
30,1,-100.00,collision,3.263,3.263,0.6514
31,1,-100.00,collision,2.187,2.187,0.6513
32,1,-100.00,collision,2.801,2.801,0.6512
33,1,-100.00,collision,3.264,3.264,0.6511
34,1,-100.00,collision,2.800,2.800,0.6510
35,1,-100.00,collision,4.436,4.436,0.6509
36,1,-100.00,collision,3.270,3.270,0.6508
37,1,-100.00,collision,2.623,2.623,0.6507
38,1,-100.00,collision,2.656,2.656,0.6506
39,1,-100.00,collision,3.985,3.985,0.6505
40,1,-100.00,collision,4.156,4.156,0.6504
41,1,-100.00,collision,3.590,3.590,0.6503
42,1,-100.00,collision,4.220,4.220,0.6502
43,1,-100.00,collision,2.123,2.123,0.6501
44,1,-100.00,collision,3.320,3.320,0.6500
45,1,-100.00,collision,2.741,2.741,0.6499
46,1,-100.00,collision,3.290,3.290,0.6498
47,1,-100.00,collision,4.905,4.905,0.6497
48,1,-100.00,collision,0.190,0.190,0.6496
49,1,-100.00,collision,3.902,3.902,0.6495
50,1,-100.00,collision,1.242,1.242,0.6494
51,1,-100.00,collision,3.846,3.846,0.6493
52,1,-100.00,collision,3.685,3.685,0.6492
