Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
0,600,-56.53,timeout,1.489,1.489,0.9188
1,600,-611.54,timeout,2.524,2.000,0.8361
2,600,468.78,timeout,0.927,0.929,0.7613
3,600,-353.06,timeout,2.205,1.581,0.6936
4,600,-267.41,timeout,1.948,1.487,0.6324
5,600,-109.33,timeout,2.200,1.868,0.5770
6,600,-255.34,timeout,3.005,2.371,0.5268
7,600,-373.40,timeout,2.537,1.500,0.4814
8,600,485.36,timeout,0.225,0.228,0.4404
9,600,439.74,timeout,0.793,0.795,0.4032
10,600,-113.52,timeout,2.644,1.980,0.3696
11,600,116.61,timeout,1.561,1.561,0.3392
12,600,-371.23,timeout,3.695,2.285,0.3117
13,600,216.74,timeout,1.232,1.232,0.2868
14,600,208.41,timeout,1.298,1.301,0.2642
15,402,344.30,collision,0.811,0.811,0.2504
16,378,307.44,collision,0.613,0.613,0.2381
17,600,395.41,timeout,0.677,0.678,0.2202
18,353,249.63,collision,0.216,0.216,0.2105
19,301,542.26,goal,0.199,0.199,0.2026
20,600,374.12,timeout,0.933,0.934,0.1881
21,600,546.19,timeout,0.363,0.364,0.1750
22,473,559.26,goal,0.199,0.199,0.1655
23,600,628.61,timeout,0.370,0.370,0.1545
24,497,744.75,goal,0.200,0.200,0.1462
25,312,166.09,collision,1.358,1.358,0.1413
26,540,712.75,goal,0.198,0.198,0.1335
27,585,588.03,goal,0.199,0.199,0.1257
28,600,169.23,timeout,0.766,0.766,0.1185
29,559,263.49,collision,1.372,1.372,0.1124
30,264,485.81,goal,0.195,0.195,0.1097
31,378,593.12,goal,0.200,0.200,0.1061
32,478,537.88,goal,0.198,0.198,0.1018
33,370,473.84,goal,0.197,0.197,0.0987
34,600,237.93,timeout,1.493,1.496,0.0941
35,537,150.49,collision,0.667,0.253,0.0903
36,600,479.16,timeout,0.436,0.439,0.0865
37,600,169.88,timeout,1.578,1.104,0.0830
38,231,147.88,collision,0.822,0.822,0.0817
39,509,631.56,goal,0.199,0.199,0.0792
40,600,585.55,timeout,0.593,0.596,0.0764
41,276,193.06,collision,0.220,0.220,0.0752
42,409,724.06,goal,0.195,0.195,0.0735
43,511,703.20,goal,0.195,0.195,0.0716
44,249,135.75,collision,1.136,1.136,0.0707
45,520,573.56,goal,0.200,0.200,0.0690
46,354,480.64,goal,0.194,0.194,0.0679
47,433,172.75,collision,1.341,1.341,0.0667
48,400,232.16,collision,0.510,0.510,0.0656
49,297,196.54,collision,0.920,0.920,0.0648
50,409,553.55,goal,0.194,0.194,0.0639
51,251,485.44,goal,0.198,0.198,0.0633
52,398,578.08,goal,0.199,0.199,0.0624
53,304,404.68,goal,0.200,0.200,0.0618
54,600,257.75,timeout,0.459,0.459,0.0607
55,550,550.95,goal,0.199,0.199,0.0598
56,321,79.58,collision,1.208,1.208,0.0593
57,165,72.86,collision,0.921,0.921,0.0590
58,244,88.64,collision,0.588,0.588,0.0586
59,263,467.73,goal,0.198,0.198,0.0583
60,208,55.52,collision,0.349,0.349,0.0580
61,246,501.02,goal,0.195,0.195,0.0577
62,215,492.56,goal,0.193,0.193,0.0574
63,157,47.15,collision,0.919,0.919,0.0572
64,153,16.48,collision,1.496,1.496,0.0570
65,217,369.80,goal,0.191,0.191,0.0568
66,202,360.83,goal,0.195,0.195,0.0566
67,146,33.11,collision,1.419,1.419,0.0564
68,136,394.38,goal,0.188,0.188,0.0563
69,215,370.86,goal,0.193,0.193,0.0560
70,170,427.91,goal,0.194,0.194,0.0559
71,113,357.01,goal,0.198,0.198,0.0558
72,165,33.58,collision,0.919,0.919,0.0556
73,258,438.72,goal,0.188,0.188,0.0554
74,95,356.32,goal,0.194,0.194,0.0553
75,87,364.70,goal,0.193,0.193,0.0552
76,148,427.92,goal,0.198,0.198,0.0551
77,105,341.06,goal,0.196,0.196,0.0550
78,99,-6.54,collision,0.680,0.680,0.0549
79,126,8.19,collision,1.592,1.592,0.0548
80,91,-9.63,collision,0.739,0.739,0.0547
81,130,388.44,goal,0.196,0.196,0.0546
82,160,351.01,goal,0.199,0.199,0.0545
83,165,-8.49,collision,0.954,0.954,0.0544
84,198,45.15,collision,0.233,0.233,0.0542
85,169,-24.94,collision,0.604,0.604,0.0541
86,141,375.61,goal,0.200,0.200,0.0540
87,148,14.51,collision,0.340,0.340,0.0539
88,317,404.60,goal,0.197,0.197,0.0537
89,148,18.71,collision,0.701,0.701,0.0536
