Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
90,174,1.04,collision,1.192,1.192,0.0535
91,85,367.86,goal,0.188,0.188,0.0535
92,110,361.56,goal,0.196,0.196,0.0534
93,44,317.40,goal,0.191,0.191,0.0534
94,152,370.50,goal,0.197,0.197,0.0533
95,102,346.67,goal,0.196,0.196,0.0533
96,186,414.09,goal,0.192,0.192,0.0532
97,142,353.69,goal,0.192,0.192,0.0531
98,228,370.05,goal,0.199,0.199,0.0530
99,208,332.48,goal,0.199,0.199,0.0529
100,49,319.21,goal,0.177,0.177,0.0528
101,179,49.00,collision,0.259,0.210,0.0528
102,116,-7.60,collision,0.532,0.532,0.0527
103,183,416.80,goal,0.198,0.198,0.0526
104,187,401.53,goal,0.188,0.188,0.0525
105,429,44.37,collision,0.455,0.399,0.0524
106,118,-28.60,collision,0.209,0.209,0.0523
107,287,59.41,collision,0.280,0.280,0.0522
108,175,283.24,goal,0.184,0.184,0.0522
109,141,-126.15,collision,1.014,0.961,0.0521
110,222,-65.81,collision,1.105,0.354,0.0520
111,171,-68.02,collision,1.113,1.113,0.0520
112,93,346.60,goal,0.194,0.194,0.0519
113,396,-255.56,collision,0.778,0.778,0.0518
114,261,-30.70,collision,0.895,0.289,0.0517
115,171,-43.01,collision,0.228,0.228,0.0517
116,187,391.93,goal,0.195,0.195,0.0516
117,125,345.99,goal,0.199,0.199,0.0516
118,238,-86.72,collision,1.813,1.812,0.0515
119,246,25.19,collision,0.226,0.226,0.0515
120,125,399.50,goal,0.196,0.196,0.0514
121,126,390.76,goal,0.189,0.189,0.0514
122,150,396.76,goal,0.174,0.174,0.0514
123,155,327.63,goal,0.189,0.189,0.0513
124,171,342.28,goal,0.195,0.195,0.0513
125,74,333.71,goal,0.186,0.186,0.0513
126,282,398.48,goal,0.186,0.186,0.0512
127,202,-44.40,collision,0.648,0.648,0.0512
128,74,313.70,goal,0.196,0.196,0.0512
129,163,-52.00,collision,0.427,0.427,0.0511
130,75,298.98,goal,0.188,0.188,0.0511
