Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
0,600,-64.96,timeout,1.517,1.471,0.9188
1,106,-253.30,collision,2.060,1.962,0.9036
2,600,312.73,timeout,1.872,1.873,0.8224
3,600,-114.64,timeout,2.592,2.424,0.7489
4,600,545.35,timeout,0.422,0.423,0.6824
5,179,-203.11,collision,3.257,3.240,0.6638
6,600,232.62,timeout,1.691,1.636,0.6054
7,127,-228.61,collision,1.690,1.530,0.5937
8,600,451.67,timeout,0.662,0.662,0.5420
9,600,-64.74,timeout,2.309,2.306,0.4952
10,600,152.63,timeout,1.828,1.829,0.4528
11,600,165.44,timeout,1.858,1.484,0.4145
12,600,1.69,timeout,2.572,2.572,0.3798
13,231,-276.78,collision,2.574,2.056,0.3673
14,484,-1.89,collision,0.861,0.861,0.3427
15,492,184.69,collision,1.268,1.268,0.3197
16,443,223.48,collision,0.859,0.859,0.3005
17,517,-203.66,collision,1.878,1.476,0.2798
18,600,25.83,timeout,1.437,1.000,0.2579
19,511,201.62,collision,1.158,1.158,0.2410
