Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
0,700,-558.83,timeout,2.311,1.838,0.9045
1,700,42.28,timeout,1.867,1.857,0.8104
2,700,-574.82,timeout,2.187,1.389,0.7266
3,700,281.71,timeout,1.069,1.069,0.6521
4,700,-408.05,timeout,2.555,1.921,0.5858
5,700,448.52,timeout,1.105,1.105,0.5268
6,574,181.22,collision,1.036,1.036,0.4833
7,700,-358.04,timeout,3.016,2.010,0.4356
8,580,670.65,goal,0.300,0.300,0.4001
9,700,421.70,timeout,1.104,1.105,0.3615
10,648,552.21,goal,0.296,0.296,0.3296
11,620,272.24,collision,0.907,0.907,0.3022
12,532,330.60,collision,0.925,0.925,0.2808
13,657,824.33,goal,0.300,0.300,0.2568
14,700,418.11,timeout,0.359,0.360,0.2341
15,386,613.21,goal,0.300,0.300,0.2226
16,372,248.71,collision,1.442,1.442,0.2122
17,541,323.95,collision,0.316,0.316,0.1982
18,618,835.97,goal,0.299,0.299,0.1837
19,376,226.78,collision,0.547,0.547,0.1756
20,513,678.39,goal,0.299,0.299,0.1653
21,700,-324.89,timeout,3.521,1.709,0.1526
22,354,265.78,collision,0.352,0.352,0.1467
23,663,697.29,goal,0.298,0.298,0.1366
24,463,27.96,collision,1.538,1.538,0.1302
25,700,431.24,timeout,0.621,0.627,0.1214
26,700,508.37,timeout,0.959,0.959,0.1135
27,450,489.62,goal,0.298,0.298,0.1089
28,364,517.77,goal,0.299,0.299,0.1054
29,586,612.77,goal,0.293,0.293,0.1003
30,231,381.61,goal,0.298,0.298,0.0984
31,467,577.82,goal,0.298,0.298,0.0948
32,700,375.10,timeout,0.742,0.742,0.0898
33,522,752.25,goal,0.297,0.297,0.0865
34,492,528.81,goal,0.300,0.300,0.0836
35,573,236.61,collision,1.350,1.350,0.0806
36,366,143.42,collision,1.483,1.483,0.0788
37,335,169.43,collision,0.806,0.806,0.0772
38,453,619.70,goal,0.300,0.300,0.0752
39,369,198.34,collision,0.775,0.775,0.0737
40,352,498.12,goal,0.296,0.296,0.0724
41,461,151.77,collision,0.461,0.461,0.0707
42,539,641.36,goal,0.300,0.300,0.0689
43,471,166.09,collision,0.483,0.333,0.0675
44,700,199.30,timeout,0.804,0.598,0.0656
45,700,427.04,timeout,0.613,0.613,0.0639
46,269,95.03,collision,0.626,0.626,0.0633
47,370,557.97,goal,0.299,0.299,0.0625
48,237,410.91,goal,0.299,0.299,0.0620
49,295,399.26,goal,0.294,0.294,0.0614
50,253,40.16,collision,1.400,1.400,0.0609
51,252,14.02,collision,1.745,1.745,0.0605
52,262,36.49,collision,1.085,1.085,0.0600
53,116,329.94,goal,0.297,0.297,0.0598
54,212,53.69,collision,0.711,0.711,0.0595
55,327,44.31,collision,0.660,0.660,0.0590
56,328,448.24,goal,0.294,0.294,0.0585
57,355,411.12,goal,0.298,0.298,0.0580
58,165,382.97,goal,0.300,0.300,0.0578
59,314,362.08,goal,0.297,0.297,0.0574
60,282,-167.86,collision,0.474,0.474,0.0571
61,256,398.74,goal,0.299,0.299,0.0568
62,162,360.91,goal,0.300,0.300,0.0566
63,140,313.20,goal,0.297,0.297,0.0564
64,292,425.60,goal,0.295,0.295,0.0561
65,256,53.82,collision,1.063,1.061,0.0559
66,97,281.59,goal,0.298,0.298,0.0558
67,153,14.56,collision,0.514,0.514,0.0556
68,167,347.18,goal,0.299,0.299,0.0555
69,204,389.58,goal,0.299,0.299,0.0553
70,150,363.41,goal,0.296,0.296,0.0552
71,700,8.95,timeout,0.372,0.372,0.0546
72,187,307.17,goal,0.300,0.300,0.0545
73,97,290.28,goal,0.292,0.292,0.0544
74,97,281.28,goal,0.297,0.297,0.0543
75,653,-667.20,collision,0.479,0.472,0.0539
76,204,-89.78,collision,0.958,0.958,0.0537
77,71,281.27,goal,0.294,0.294,0.0537
78,252,355.41,goal,0.294,0.294,0.0535
79,131,-36.11,collision,0.417,0.417,0.0535
80,253,-270.63,collision,0.885,0.885,0.0533
81,225,379.82,goal,0.299,0.299,0.0532
82,122,313.09,goal,0.290,0.290,0.0531
83,208,357.22,goal,0.299,0.299,0.0530
84,297,-84.43,collision,0.944,0.944,0.0529
85,175,19.23,collision,0.658,0.658,0.0528
86,201,392.56,goal,0.295,0.295,0.0527
87,200,371.72,goal,0.290,0.290,0.0526
