Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
0,700,127.51,timeout,1.118,1.064,0.9045
1,700,-291.46,timeout,1.756,1.212,0.8104
2,700,177.26,timeout,0.754,0.641,0.7266
3,700,-235.53,timeout,1.863,1.403,0.6521
4,700,-558.89,timeout,2.240,1.082,0.5858
5,700,-299.66,timeout,2.457,1.500,0.5268
6,700,-138.23,timeout,1.836,1.414,0.4743
7,700,447.47,timeout,0.642,0.593,0.4276
8,700,7.29,timeout,1.684,0.775,0.3860
9,443,-305.34,collision,2.490,1.712,0.3621
10,700,-371.80,timeout,2.977,1.221,0.3277
11,700,188.96,timeout,1.893,1.893,0.2971
12,1,200.00,goal,0.241,0.241,0.2971
13,700,-182.49,timeout,2.260,0.937,0.2699
